song,album,year,genre,order,chords,rhythm,words,play no vocals,play with vocals,progress,piano,improved vocals,next level progress
New Romantics,1989,2014,Pop,16,0,0,0,0,0,0,0,0,0
...Ready for It?,reputation,2017,Pop,1,0,0,0,0,0,0,0,0,0
End Game (feat. Ed Sheeran and Future),reputation,2017,Pop,2,0,0,0,0,0,0,0,0,0
I Did Something Bad,reputation,2017,Pop,3,0,0,0,0,0,0,0,0,0
Don't Blame Me,reputation,2017,Pop,4,0,0,0,0,0,0,0,0,0
Delicate,reputation,2017,Pop,5,0,0,0,0,0,0,0,0,0
Look What You Made Me Do,reputation,2017,Pop,6,0,0,0,0,0,0,0,0,0
So It Goes...,reputation,2017,Pop,7,0,0,0,0,0,0,0,0,0
Gorgeous,reputation,2017,Pop,8,0,0,0,0,0,0,0,0,0
Getaway Car,reputation,2017,Pop,9,0,0,0,0,0,0,0,0,0
King of My Heart,reputation,2017,Pop,10,0,0,0,0,0,0,0,0,0
Dancing with Our Hands Tied,reputation,2017,Pop,11,0,0,0,0,0,0,0,0,0
Dress,reputation,2017,Pop,12,0,0,0,0,0,0,0,0,0
This Is Why We Can't Have Nice Things,reputation,2017,Pop,13,0,0,0,0,0,0,0,0,0
Call It What You Want,reputation,2017,Pop,14,0,0,0,0,0,0,0,0,0
New Year's Day,reputation,2017,Pop,15,0,0,0,0,0,0,0,0,0
I Forgot That You Existed,Lover,2019,Pop,1,0,0,0,0,0,0,0,0,0
Cruel Summer,Lover,2019,Pop,2,0,0,1,0,0,0.2,0,0,0.2
Lover,Lover,2019,Pop,3,0,0,1,0,0,0.2,0,0,0.2
The Man,Lover,2019,Pop,4,0,0,0,0,0,0,0,0,0
The Archer,Lover,2019,Pop,5,0,0,1,0,0,0.2,0,0,0.2
I Think He Knows,Lover,2019,Pop,6,0,0,1,0,0,0.2,0,0,0.2
Miss Americana & the Heartbreak Prince,Lover,2019,Pop,7,0,0,0,0,0,0,0,0,0
Paper Rings,Lover,2019,Pop,8,0,0,0,0,0,0,0,0,0
Cornelia Street,Lover,2019,Pop,9,0,0,1,0,0,0.2,0,0,0.2
Death By A Thousand Cuts,Lover,2019,Pop,10,0,0,0,0,0,0,0,0,0
London Boy,Lover,2019,Pop,11,0,0,0,0,0,0,0,0,0
Soon You'll Get Better (feat. Dixie Chicks),Lover,2019,Country/Pop,12,0,0,0,0,0,0,0,0,0
False God,Lover,2019,Pop,13,0,0,0,0,0,0,0,0,0
You Need to Calm Down,Lover,2019,Pop,14,0,0,0,0,0,0,0,0,0
Afterglow,Lover,2019,Pop,15,0,0,0,0,0,0,0,0,0
ME! (feat. Brendon Urie),Lover,2019,Pop,16,0,0,0,0,0,0,0,0,0
It's Nice to Have a Friend,Lover,2019,Pop,17,0,0,0,0,0,0,0,0,0
Daylight,Lover,2019,Pop,18,0,0,0,0,0,0,0,0,0
the 1,folklore,2020,Alternative,1,0,0,1,0,0,0.2,0,0,0.2
cardigan,folklore,2020,Alternative,2,0,0,0,0,0,0,0,0,0
the last great american dynasty,folklore,2020,Alternative,3,0,0,0,0,0,0,0,0,0
exile (feat. Bon Iver),folklore,2020,Alternative,4,0,0,0,0,0,0,0,0,0
my tears ricochet,folklore,2020,Alternative,5,0,0,0,0,0,0,0,0,0
mirrorball,folklore,2020,Alternative,6,0,0,0,0,0,0,0,0,0
seven,folklore,2020,Alternative,7,0,0,0,0,0,0,0,0,0
august,folklore,2020,Alternative,8,0,0,0,0,0,0,0,0,0
this is me trying,folklore,2020,Alternative,9,0,0,0,0,0,0,0,0,0
illicit affairs,folklore,2020,Alternative,10,0,0,0,0,0,0,0,0,0
invisible string,folklore,2020,Alternative,11,0,0,1,0,0,0.2,0,0,0.2
mad woman,folklore,2020,Alternative,12,0,0,0,0,0,0,0,0,0
epiphany,folklore,2020,Alternative,13,0,0,0,0,0,0,0,0,0
betty,folklore,2020,Alternative,14,0,0,1,0,0,0.2,0,0,0.2
peace,folklore,2020,Alternative,15,0,0,0,0,0,0,0,0,0
hoax,folklore,2020,Alternative,16,0,0,0,0,0,0,0,0,0
the lakes,folklore,2020,Alternative,17,0,0,0,0,0,0,0,0,0
willow,evermore,2020,Alternative,1,0,0,0,0,0,0,0,0,0
champagne problems,evermore,2020,Alternative,2,0,0,0,0,0,0,0,0,0
gold rush,evermore,2020,Alternative,3,0,0,0,0,0,0,0,0,0
'tis the damn season,evermore,2020,Alternative,4,0,0,0,0,0,0,0,0,0
tolerate it,evermore,2020,Alternative,5,0,0,0,0,0,0,0,0,0
"no body, no crime (feat. Haim)",evermore,2020,Country,6,0,0,0,0,0,0,0,0,0
happiness,evermore,2020,Alternative,7,0,0,0,0,0,0,0,0,0
dorothea,evermore,2020,Alternative,8,0,0,0,0,0,0,0,0,0
coney island (feat. The National),evermore,2020,Alternative,9,0,0,0,0,0,0,0,0,0
ivy,evermore,2020,Alternative,10,0,0,0,0,0,0,0,0,0
cowboy like me,evermore,2020,Alternative,11,0,0,0,0,0,0,0,0,0
long story short,evermore,2020,Alternative,12,0,0,0,0,0,0,0,0,0
marjorie,evermore,2020,Alternative,13,0,0,0,0,0,0,0,0,0
closure,evermore,2020,Alternative,14,0,0,0,0,0,0,0,0,0
evermore (feat. Bon Iver),evermore,2020,Alternative,15,0,0,0,0,0,0,0,0,0
Lavender Haze ,Midnights (3am Edition),2022,Pop,1,0,0,0,0,0,0,0,0,0
Maroon,Midnights (3am Edition),2022,Pop,2,0,0,0,0,0,0,0,0,0
Anti-Hero,Midnights (3am Edition),2022,Pop,3,0,0,0,0,0,0,0,0,0
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022,Pop,4,0,0,0,0,0,0,0,0,0
"You're On Your Own, Kid",Midnights (3am Edition),2022,Pop,5,0,0,0,0,0,0,0,0,0
Midnight Rain,Midnights (3am Edition),2022,Pop,6,0,0,0,0,0,0,0,0,0
Question…?,Midnights (3am Edition),2022,Pop,7,0,0,0,0,0,0,0,0,0
Vigilante Shit,Midnights (3am Edition),2022,Pop,8,0,0,0,0,0,0,0,0,0
Bejeweled ,Midnights (3am Edition),2022,Pop,9,0,0,0,0,0,0,0,0,0
Labyrinth,Midnights (3am Edition),2022,Pop,10,0,0,0,0,0,0,0,0,0
Karma,Midnights (3am Edition),2022,Pop,11,0,0,0,0,0,0,0,0,0
Sweet Nothing,Midnights (3am Edition),2022,Pop,12,0,0,0,0,0,0,0,0,0
Mastermind,Midnights (3am Edition),2022,Pop,13,0,0,0,0,0,0,0,0,0
The Great War,Midnights (3am Edition),2022,Pop,14,0,0,0,0,0,0,0,0,0
Bigger Than The Whole Sky,Midnights (3am Edition),2022,Pop,15,0,0,0,0,0,0,0,0,0
Paris,Midnights (3am Edition),2022,Pop,16,0,0,0,0,0,0,0,0,0
High Infidelity,Midnights (3am Edition),2022,Pop,17,0,0,0,0,0,0,0,0,0
Glitch,Midnights (3am Edition),2022,Pop,18,0,0,0,0,0,0,0,0,0
"Would've, Could've, Should've",Midnights (3am Edition),2022,Pop,19,0,0,1,0,0,0.2,0,0,0.2
Dear Reader,Midnights (3am Edition),2022,Pop,20,0,0,0,0,0,0,0,0,0
